intake reason,age in years
Incompatible with owner lifestyle,2.583333333
Incompatible with owner lifestyle,2.583333333
Incompatible with owner lifestyle,2.583333333
Incompatible with owner lifestyle,2.583333333
Stray,3.75
Stray,3.583333333
Stray,3.583333333
Stray,4.916666667
Stray,4.916666667
Stray,4
Stray,1.833333333
Stray,1.833333333
Stray,1.75
Incompatible with owner lifestyle,1.833333333
Incompatible with owner lifestyle,2.25
Incompatible with owner lifestyle,1.666666667
Incompatible with owner lifestyle,1.666666667
Incompatible with owner lifestyle,1.666666667
Incompatible with owner lifestyle,1.666666667
Incompatible with owner lifestyle,1.666666667
Incompatible with owner lifestyle,1.666666667
Incompatible with owner lifestyle,1.666666667
Incompatible with owner lifestyle,1.666666667
Unsuitable Accommodation,3.166666667
Stray,2.666666667
Stray,2.666666667
Incompatible with owner lifestyle,8.75
Incompatible with owner lifestyle,13.58333333
Stray,12.58333333
Unable to Afford,2.416666667
Unable to Afford,2.416666667
Police Assist,2.75
Stray,9.583333333
Unable to Afford,14.41666667
Incompatible with owner lifestyle,6.583333333
Stray,3.583333333
Stray,1.666666667
Incompatible with owner lifestyle,3
Incompatible with owner lifestyle,10.08333333
Incompatible with owner lifestyle,2.666666667
Unsuitable Accommodation,11.58333333
Abandoned,1.666666667
Abandoned,1.666666667
Abandoned,1.666666667
Abandoned,0.05753408895
Abandoned,0.05753408895
Unsuitable Accommodation,3.583333333
Unsuitable Accommodation,4.083333333
Stray,1.916666667
Owner Died,3.583333333
Owner Died,3.583333333
Owner Died,3.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Stray,2.583333333
Owner Died,8.583333333
Owner Died,8.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Owner Died,1.583333333
Stray,3.416666667
Stray,8.583333333
